Concurrency,Heap Size,Garbage Collector,per10_latency (ms),per50_latency (ms),per90_latency (ms),per95_latency (ms),per98_latency (ms),per99_latency (ms),per99.5_latency (ms),per99.9_latency (ms),per99.95_latency (ms),per99.99_latency (ms)
50,800m,UseConcMarkSweepGC,0.0041893,0.0045515,0.00543535,0.005694675,0.00605116,0.00646187,0.00831174,0.021339737,0.02985726825,0.0432876378
50,800m,UseG1GC,0.00388324,0.0042922,0.00513318,0.00552348,0.006144548,0.008077224,0.031442528,0.04364007,0.0583420056,0.0735742292
50,800m,UseParallelGC,0.0033044,0.0035591,0.0038263,0.0039041,0.00412346,0.00487302,0.00630004,0.018763596,0.028790028,0.1031606144
50,800m,UseSerialGC,0.00537338,0.005854,0.00631876,0.00647064,0.006646128,0.00678497,0.007057807,0.0144246294,0.025957789,0.07283816676
50,1g,UseConcMarkSweepGC,0.00456309,0.0049379,0.00601746,0.00626011,0.00689897,0.007756551,0.010497952,0.0221379838,0.0388359084,0.2121971436
50,1g,UseG1GC,0.00412276,0.0044609,0.00532692,0.00574316,0.006641828,0.01101948,0.040037722,0.0484907886,0.0578814164,0.0745744421
50,1g,UseParallelGC,0.0032808,0.00355,0.00382158,0.00389746,0.004021188,0.004757476,0.00666584,0.016520296,0.0349542916,0.1151794463
50,1g,UseSerialGC,0.00547841,0.0059631,0.00639279,0.006516595,0.006658198,0.006812396,0.0076125905,0.0186387526,0.02882378305,0.09947158279
50,4g,UseConcMarkSweepGC,0.01370688,0.0145303,0.0185543,0.02077653,0.021892672,0.023505746,0.025889617,0.038193659,0.048470795,0.07534037324
50,4g,UseG1GC,0.00529408,0.005705,0.00730936,0.00816002,0.03283298,0.048947744,0.057603804,0.062155368,0.062493034,0.0627631668
50,4g,UseParallelGC,0.00334921,0.00363205,0.00387749,0.00396448,0.004460056,0.010065972,0.0183682465,0.0881200504,0.1243088581,0.1285371316
50,4g,UseSerialGC,0.0054508,0.0059208,0.0063339,0.00646955,0.00666302,0.00988541,0.01061487,0.082733614,0.1273031285,0.1421512657
100,800m,UseConcMarkSweepGC,0.004658,0.00531875,0.00622351,0.00659731,0.007158776,0.008370063,0.0110754065,0.0239738751,0.03222619585,0.04232321264
100,800m,UseG1GC,0.00455118,0.005324,0.00647492,0.00699116,0.00818648,0.010399784,0.018893432,0.0437226424,0.0496718176,0.0502738774
100,800m,UseParallelGC,0.00356276,0.0040295,0.00463522,0.00482687,0.005145164,0.005865608,0.008257019,0.0200946502,0.029148647,0.1100977437
100,800m,UseSerialGC,0.00601012,0.0068026,0.00778818,0.00808932,0.008427472,0.008752918,0.009309293,0.0205852446,0.0240257016,0.07478564094
100,1g,UseConcMarkSweepGC,0.00512066,0.0057751,0.00678465,0.0071752,0.007810358,0.008643296,0.012534575,0.0284820471,0.04069651695,0.05615186437
100,1g,UseG1GC,0.0046769,0.00543605,0.0065753,0.007262225,0.00861623,0.01079254,0.0386482025,0.053553711,0.05769561575,0.06010623275
100,1g,UseParallelGC,0.0035776,0.00400765,0.00457529,0.00475525,0.005110294,0.00684323,0.0106787545,0.0257194806,0.0312563148,0.1165305817
100,1g,UseSerialGC,0.00610692,0.0069113,0.0078877,0.00822382,0.008608772,0.00901448,0.011072884,0.021952392,0.0294293528,0.0978628728
100,4g,UseConcMarkSweepGC,0.01434575,0.0152117,0.01851132,0.020482985,0.022302678,0.023581997,0.0268324785,0.0390843472,0.0463917411,0.06678504907
100,4g,UseG1GC,0.00602281,0.00687325,0.00867365,0.010590455,0.034563504,0.046080276,0.050045429,0.0550088233,0.05695681165,0.05851520233
100,4g,UseParallelGC,0.00362256,0.0040473,0.00459144,0.00477444,0.00563088,0.011054216,0.017522205,0.0937053882,0.1577489862,0.2079658772
100,4g,UseSerialGC,0.00660603,0.0074155,0.00842497,0.00872107,0.009180578,0.013928835,0.016403667,0.0909096686,0.1242596296,0.1601398459
200,800m,UseConcMarkSweepGC,0.00562702,0.00689085,0.00836939,0.00889102,0.009754386,0.011154777,0.0135160485,0.0274609264,0.0355748814,0.04084149457
200,800m,UseG1GC,0.00588296,0.007404,0.00908818,0.00986681,0.0116138,0.013456356,0.018398701,0.0418976536,0.0466431651,0.05457391532
200,800m,UseParallelGC,0.00446348,0.0055112,0.0066505,0.00700626,0.007445492,0.00842808,0.01056778,0.0215170456,0.0304215152,0.09153298688
200,800m,UseSerialGC,0.00760015,0.0095988,0.01161841,0.0120524,0.012619126,0.013193459,0.013742503,0.0217554419,0.0270218668,0.07246010508
200,1g,UseConcMarkSweepGC,0.00585939,0.0070741,0.00861904,0.009209225,0.010206688,0.012042234,0.0151912155,0.0297915425,0.035499602,0.05377364439
200,1g,UseG1GC,0.00612428,0.00761585,0.00933581,0.01012403,0.011961934,0.013971435,0.021269138,0.0451988048,0.05527226135,0.06742961426
200,1g,UseParallelGC,0.00443214,0.005534,0.00665672,0.00698512,0.007678484,0.008955852,0.01343521,0.0282021492,0.0339582064,0.1071627402
200,1g,UseSerialGC,0.00778912,0.0098792,0.01201608,0.0124854,0.012926672,0.01344324,0.015003586,0.0248868004,0.0260594858,0.1162631124
200,4g,UseConcMarkSweepGC,0.0154434,0.016932,0.0193118,0.0210965,0.02281866,0.02431014,0.02606597,0.045271144,0.0589006765,0.0646133742
200,4g,UseG1GC,0.00746776,0.00911,0.01153758,0.01342566,0.036639164,0.051464676,0.071285764,0.0877479804,0.0890059902,0.09001239804
200,4g,UseParallelGC,0.00429254,0.005216,0.00645708,0.006823555,0.008188428,0.014507795,0.022608795,0.0834788753,0.1173313644,0.1424069929
200,4g,UseSerialGC,0.00788926,0.0099109,0.01226062,0.0128719,0.013553304,0.019694764,0.025765908,0.0736276712,0.1274451412,0.1543491882
500,800m,UseConcMarkSweepGC,0.0086229,0.0089503,0.0097138,0.01033737,0.01091286,0.01158869,0.01282132,0.0236331628,0.0385848575,0.05192330566
500,800m,UseG1GC,0.00955906,0.0099195,0.01097716,0.01144426,0.012507652,0.014624612,0.023460452,0.0490765296,0.0502052008,0.05177314816
500,800m,UseParallelGC,0.00694741,0.0072418,0.00778502,0.007986995,0.008645692,0.0097609,0.011153171,0.0229014387,0.0321828939,0.1077732001
500,800m,UseSerialGC,0.01295545,0.0138146,0.01460855,0.014854585,0.015150632,0.015391025,0.0159885775,0.0252931928,0.0271214677,0.08147964312
500,1g,UseConcMarkSweepGC,0.00925257,0.00983605,0.0110087,0.01155103,0.012377552,0.014912175,0.017801929,0.0262942879,0.0378513579,0.05912871571
500,1g,UseG1GC,0.00886054,0.01009375,0.01154462,0.012283025,0.01561166,0.017730149,0.028571544,0.0539458183,0.0554148786,0.06224077282
500,1g,UseParallelGC,0.00696414,0.007363,0.00808974,0.00834688,0.009181168,0.010047112,0.01386951,0.0229588504,0.032706579,0.1469391878
500,1g,UseSerialGC,0.01295838,0.0138828,0.01468316,0.01494896,0.015316084,0.015643964,0.015982572,0.0239653472,0.0407501928,0.1702832152
500,4g,UseConcMarkSweepGC,0.01810624,0.019658,0.02182402,0.02314152,0.024512234,0.025969383,0.028157003,0.0387732603,0.0466531919,0.08553228762
500,4g,UseG1GC,0.01049258,0.0114498,0.01345762,0.01586893,0.037552792,0.051819402,0.053392807,0.0832981522,0.0962356261,0.1065856052
500,4g,UseParallelGC,0.00697445,0.0073315,0.00806649,0.00841897,0.010452662,0.016585797,0.022558021,0.0604039332,0.1066216509,0.1643664102
500,4g,UseSerialGC,0.01160069,0.0139926,0.01484522,0.01519309,0.015709104,0.024196083,0.026334889,0.0818257066,0.1304891835,0.1467310367