Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (s),per50_latency (s),per90_latency (s),per95_latency (s),per98_latency (s),per99_latency (s),per99.5_latency (s),per99.9_latency (s),per99.95_latency (s),per99.99_latency (s)
50,50,200m,UseConcMarkSweepGC,0.0017173,0.0018455,0.0021367,0.00218008,0.002246592,0.002358592,0.002573276,0.0043009424,0.0061035712,0.01566078272
50,50,200m,UseG1GC,0.0022119,0.0023279,0.0027621,0.00282029,0.002893616,0.003003478,0.003259443,0.0073877208,0.0165181834,0.03487610034
50,50,200m,UseParallelGC,0.0020737,0.0022012,0.0023775,0.0024355,0.002512064,0.002666028,0.00303406,0.0051697486,0.0069061348,0.01410313228
50,50,200m,UseSerialGC,0.0031585,0.0032607,0.003374,0.0034167,0.003475364,0.003530191,0.0036094465,0.0054290143,0.00691563715,0.01505143095
50,50,500m,UseConcMarkSweepGC,0.0025081,0.0026449,0.0031327,0.0032091,0.00334667,0.003618715,0.0041974575,0.006661142,0.015690395,0.03421119285
50,50,500m,UseG1GC,0.0025144,0.0026713,0.0031067,0.0031845,0.00331056,0.00355608,0.0045305,0.013445404,0.026414736,0.0375114784
50,50,500m,UseParallelGC,0.0020615,0.0021879,0.00242554,0.0024833,0.002560828,0.002675832,0.003140392,0.0073764938,0.0143565385,0.03770975708
50,50,500m,UseSerialGC,0.0033281,0.0034602,0.0036376,0.003702635,0.0038028,0.003889667,0.004068602,0.0087006822,0.01439161445,0.02331348777
50,50,1g,UseConcMarkSweepGC,0.00480566,0.0050169,0.00524027,0.005340195,0.005649438,0.006144735,0.006798795,0.0136837088,0.0188800942,0.05158076071
50,50,1g,UseG1GC,0.0028509,0.0029919,0.0034818,0.0035443,0.0036401,0.00385963,0.011717215,0.038452245,0.041439811,0.0511772081
50,50,1g,UseParallelGC,0.0020262,0.0021202,0.00226892,0.00231414,0.002383,0.00260508,0.002858901,0.0140699496,0.0188814258,0.04568076788
50,50,1g,UseSerialGC,0.0033968,0.0035139,0.0036578,0.00371086,0.003792052,0.003872892,0.00409655,0.0153203944,0.0210085572,0.04065594844
50,50,4g,UseConcMarkSweepGC,0.0139666,0.0145912,0.0153483,0.0155919,0.0160132,0.016686,0.018903125,0.02743003,0.029097735,0.060293432
50,50,4g,UseG1GC,0.00408812,0.0043049,0.00492198,0.00508348,0.01612878,0.028590144,0.030323638,0.0402173136,0.0433707068,0.04589342136
50,50,4g,UseParallelGC,0.00212127,0.00222395,0.00238892,0.00244951,0.00255975,0.007735656,0.011299009,0.0264080158,0.0368476728,0.06481937456
50,50,4g,UseSerialGC,0.0037182,0.0038433,0.0039993,0.0040691,0.00419472,0.00436252,0.01489622,0.029772784,0.060395713,0.1197620432
50,1024,200m,UseConcMarkSweepGC,0.0016852,0.001822,0.0021449,0.00219181,0.002273844,0.002437466,0.002748518,0.0043702928,0.0064647378,0.01501240364
50,1024,200m,UseG1GC,0.00220308,0.0023237,0.0027773,0.0028354,0.002912504,0.00300118,0.003380732,0.0093040328,0.0163587648,0.03585616096
50,1024,200m,UseParallelGC,0.0020855,0.0022306,0.00242928,0.00249779,0.0025962,0.002814752,0.00296689,0.0046092378,0.0069079545,0.01093806042
50,1024,200m,UseSerialGC,0.003086,0.0032003,0.0033263,0.003376,0.003446,0.003504052,0.003583369,0.0052207528,0.0060782153,0.01266919926
50,1024,500m,UseConcMarkSweepGC,0.0025023,0.00260845,0.003105,0.003180575,0.0032856,0.003444575,0.0040038125,0.00528577,0.0094365825,0.02824660825
50,1024,500m,UseG1GC,0.00251332,0.002661,0.00310608,0.00317827,0.0032913,0.00342245,0.003954539,0.011467513,0.0240028796,0.04553972532
50,1024,500m,UseParallelGC,0.0020736,0.0021785,0.00236135,0.002417875,0.00250617,0.00273624,0.00291007,0.0044078165,0.00943561125,0.03546186015
50,1024,500m,UseSerialGC,0.0033801,0.00351,0.0036917,0.00375897,0.003855632,0.003934232,0.004094032,0.0080914418,0.0131518048,0.02742777204
50,1024,1g,UseConcMarkSweepGC,0.00453953,0.0046809,0.00491064,0.005022255,0.005424862,0.005779097,0.006456006,0.0124801391,0.0179457454,0.03413664838
50,1024,1g,UseG1GC,0.00292,0.0030829,0.0035985,0.0036793,0.00379952,0.00401682,0.01043246,0.043376142,0.052315437,0.05641766
50,1024,1g,UseParallelGC,0.00207748,0.002185,0.00236314,0.0024158,0.002502948,0.00274512,0.003014856,0.0123925448,0.0147247168,0.0395129528
50,1024,1g,UseSerialGC,0.0033962,0.0035433,0.00373224,0.003803,0.0039196,0.004004386,0.004215277,0.0162287078,0.0212043515,0.02816417848
50,1024,4g,UseConcMarkSweepGC,0.0136493,0.0143715,0.015051,0.0153626,0.01601566,0.01694682,0.019769765,0.028553499,0.035462691,0.0586127895
50,1024,4g,UseG1GC,0.00414645,0.00436735,0.0049881,0.0050939,0.00777927,0.029630955,0.03035838,0.0344364615,0.0345353405,0.0345715481
50,1024,4g,UseParallelGC,0.0020844,0.0021865,0.00233805,0.00239995,0.00252507,0.003016695,0.0097467675,0.0197916885,0.0484917,0.0695614199
50,1024,4g,UseSerialGC,0.00374576,0.0038699,0.00401494,0.00407051,0.004187036,0.004297608,0.015022429,0.0260962702,0.0647629972,0.1344798712
50,10240,200m,UseConcMarkSweepGC,0.0016967,0.0018937,0.002235,0.0023061,0.002454874,0.002807337,0.0034027,0.0054843558,0.00772135635,0.01606702642
50,10240,200m,UseG1GC,0.00240755,0.0025525,0.00302295,0.003099375,0.00320047,0.003365275,0.0038290225,0.0066300185,0.0104942605,0.02273186195
50,10240,200m,UseParallelGC,0.0021188,0.0023345,0.00267751,0.002821405,0.003004864,0.003281041,0.0035393755,0.0046496986,0.0077990004,0.04290711322
50,10240,200m,UseSerialGC,0.0030885,0.0032435,0.0035145,0.0036285,0.003744196,0.00382642,0.003933886,0.0050543692,0.0056688482,0.01747585408
50,10240,500m,UseConcMarkSweepGC,0.00357902,0.0037319,0.0039205,0.0039884,0.00416518,0.004447228,0.00485051,0.0061682336,0.0073531372,0.02324188052
50,10240,500m,UseG1GC,0.0027575,0.0029143,0.0033849,0.0034677,0.00356912,0.00369341,0.004139125,0.007029108,0.0093496245,0.0356686878
50,10240,500m,UseParallelGC,0.0022702,0.0024581,0.0027321,0.002815845,0.0029374,0.003071307,0.003356069,0.0047762938,0.00667380945,0.02272480288
50,10240,500m,UseSerialGC,0.0036564,0.0038192,0.0040299,0.0041081,0.004204588,0.004286098,0.004405974,0.006091813,0.006626807,0.01821988792
50,10240,1g,UseConcMarkSweepGC,0.004685,0.0048349,0.00506725,0.00518885,0.0056046,0.00593455,0.00650886,0.008281193,0.013813448,0.0332850954
50,10240,1g,UseG1GC,0.00316137,0.00332825,0.00387076,0.003946915,0.004051352,0.004201356,0.004867352,0.009481869,0.02978096645,0.03775684312
50,10240,1g,UseParallelGC,0.0022171,0.0023454,0.0027231,0.00282684,0.002928248,0.003042848,0.00340573,0.0086515556,0.0137581802,0.02882265668
50,10240,1g,UseSerialGC,0.0038913,0.0040378,0.0042187,0.00428227,0.004379368,0.004483068,0.004702247,0.0073728432,0.0192328675,0.04069997832
50,10240,4g,UseConcMarkSweepGC,0.01419646,0.01519225,0.01601202,0.016213115,0.016445236,0.016750335,0.017964125,0.0252968207,0.02952050695,0.04933526353
50,10240,4g,UseG1GC,0.0043309,0.0045691,0.0051822,0.00530085,0.0055094,0.01045453,0.018133065,0.033629741,0.0441851765,0.0461754107
50,10240,4g,UseParallelGC,0.00225891,0.00238595,0.00267919,0.00277689,0.002913628,0.003076241,0.0042629085,0.0163564255,0.02449241695,0.0575914406
50,10240,4g,UseSerialGC,0.00405875,0.0042228,0.0044283,0.0045133,0.00462283,0.00472375,0.005270195,0.018868209,0.02654479075,0.1110697401
100,50,200m,UseConcMarkSweepGC,0.00169166,0.0018546,0.0022062,0.0022861,0.002431924,0.002647724,0.003097524,0.0061220112,0.009731478,0.02789420696
100,50,200m,UseG1GC,0.0025463,0.00265985,0.0030989,0.0031635,0.003252046,0.003421143,0.00391502,0.0078570602,0.01740838945,0.03377132451
100,50,200m,UseParallelGC,0.0022794,0.0024571,0.0027384,0.002799,0.0028752,0.00295928,0.00332127,0.005934246,0.007733762,0.0226722448
100,50,200m,UseSerialGC,0.0034935,0.0036165,0.0037571,0.0038081,0.00388172,0.00396718,0.00415225,0.006452012,0.008886183,0.015498015
100,50,500m,UseConcMarkSweepGC,0.0026345,0.0027558,0.0032866,0.00338083,0.003557292,0.00389366,0.00433771,0.0062849362,0.0136241326,0.02920126796
100,50,500m,UseG1GC,0.0028865,0.0030475,0.00352896,0.003619,0.003771204,0.004086722,0.005405634,0.0123795752,0.02723473,0.03620167028
100,50,500m,UseParallelGC,0.0022546,0.0023991,0.00266702,0.0027296,0.002829532,0.002975508,0.0033141055,0.0088699804,0.0107558211,0.02886317215
100,50,500m,UseSerialGC,0.0036913,0.0038246,0.0040028,0.0040779,0.004203974,0.004351049,0.004668672,0.0083456687,0.0136590558,0.03572971953
100,50,1g,UseConcMarkSweepGC,0.0048508,0.0050086,0.00521725,0.00532955,0.00567235,0.00620907,0.00696101,0.014994125,0.026512678,0.05684462595
100,50,1g,UseG1GC,0.00319874,0.003344,0.00385486,0.00393712,0.004066392,0.004527476,0.013020096,0.036488896,0.0376127328,0.04293627848
100,50,1g,UseParallelGC,0.0022403,0.00233925,0.00252071,0.00259751,0.002743456,0.003049864,0.003250776,0.0117121515,0.01722705885,0.04610124512
100,50,1g,UseSerialGC,0.00371163,0.0038177,0.0039481,0.0040012,0.0040789,0.004186224,0.004428807,0.0192043231,0.02274448525,0.03187238074
100,50,4g,UseConcMarkSweepGC,0.0137376,0.0144191,0.0150694,0.015319225,0.01591005,0.01650495,0.0185872075,0.0255301255,0.031944344,0.0498119763
100,50,4g,UseG1GC,0.0044534,0.00470625,0.0053923,0.00570285,0.00861115,0.0182023,0.028463725,0.038829345,0.0461739225,0.0520495845
100,50,4g,UseParallelGC,0.00227268,0.0023846,0.0025861,0.00266466,0.002952028,0.006591468,0.011985452,0.0343353296,0.0387049112,0.06745962224
100,50,4g,UseSerialGC,0.00404342,0.0041984,0.0043904,0.0044991,0.004673404,0.004850164,0.017502068,0.03470321,0.071743626,0.1233787937
100,1024,200m,UseConcMarkSweepGC,0.001721,0.0019269,0.002223,0.00234785,0.00250446,0.00286089,0.003229935,0.006265131,0.008368165,0.0203931364
100,1024,200m,UseG1GC,0.0025265,0.0026429,0.003105,0.003168965,0.003263002,0.003435623,0.003927892,0.0083444981,0.0157159665,0.02946096968
100,1024,200m,UseParallelGC,0.0023105,0.0024962,0.0028035,0.00288928,0.00303938,0.00318354,0.003373308,0.0061621948,0.0087276996,0.0169500984
100,1024,200m,UseSerialGC,0.00344757,0.0035753,0.0037043,0.003747615,0.0038164,0.0038891,0.0040436035,0.0063740872,0.008037468,0.01383063006
100,1024,500m,UseConcMarkSweepGC,0.0024152,0.0025466,0.0029491,0.00302959,0.0031553,0.003365007,0.0038773655,0.0072895377,0.0103133827,0.02413385624
100,1024,500m,UseG1GC,0.0028709,0.0030335,0.00353277,0.003636575,0.003796588,0.004060533,0.004952614,0.0222452035,0.02717530165,0.038131741
100,1024,500m,UseParallelGC,0.0022873,0.00242325,0.0027557,0.002877555,0.003030634,0.003144224,0.0034096585,0.0076700559,0.0114603698,0.02683837497
100,1024,500m,UseSerialGC,0.0035382,0.0036638,0.00385443,0.0039321,0.0040444,0.004133512,0.0042598075,0.0070827252,0.01161676965,0.02282451776
100,1024,1g,UseConcMarkSweepGC,0.0046206,0.0047335,0.0050006,0.00519268,0.005719836,0.006008794,0.0064850305,0.0102278144,0.0199535333,0.04290147416
100,1024,1g,UseG1GC,0.00329572,0.0034894,0.00404458,0.00413894,0.004290192,0.004554838,0.005367707,0.0132544678,0.0317379938,0.04002360532
100,1024,1g,UseParallelGC,0.0022599,0.00237215,0.00261801,0.002708685,0.00303118,0.003218467,0.0034226155,0.0134963755,0.0227304129,0.04532397555
100,1024,1g,UseSerialGC,0.00369362,0.0038292,0.00404,0.0041291,0.004286016,0.004415364,0.004707788,0.0120143724,0.0177264682,0.05735941916
100,1024,4g,UseConcMarkSweepGC,0.0136254,0.0143059,0.0149659,0.0152806,0.01601284,0.01655468,0.01751558,0.0269307,0.035820628,0.0576312992
100,1024,4g,UseG1GC,0.00434984,0.00460235,0.00522722,0.00535724,0.008193936,0.012087801,0.027503751,0.0449197426,0.0470052188,0.04722472376
100,1024,4g,UseParallelGC,0.0022606,0.00240145,0.00264775,0.002732,0.002938424,0.003419406,0.0129957035,0.028098753,0.0527063266,0.06792187606
100,1024,4g,UseSerialGC,0.0041287,0.004237,0.00437874,0.0044234,0.004524308,0.004730352,0.018820904,0.028189664,0.0510127688,0.1308175528
100,10240,200m,UseConcMarkSweepGC,0.0018749,0.0021001,0.00248402,0.00258486,0.002871836,0.003344492,0.00367809,0.0062440564,0.0079302438,0.01828942244
100,10240,200m,UseG1GC,0.0026664,0.0028457,0.00336032,0.0034804,0.003686202,0.004011808,0.0045078675,0.0070588165,0.00946491285,0.07115327103
100,10240,200m,UseParallelGC,0.0022617,0.0024901,0.00292496,0.0031,0.003373868,0.003708092,0.00390679,0.006127478,0.0102240166,0.04425144132
100,10240,200m,UseSerialGC,0.0034314,0.0036086,0.0038594,0.0039572,0.004087376,0.004199119,0.004331376,0.0061232647,0.00820250995,0.07563223157
100,10240,500m,UseConcMarkSweepGC,0.0023984,0.0026843,0.00313856,0.003260865,0.003447952,0.003717878,0.0042076425,0.0060912152,0.0076745815,0.0299332602
100,10240,500m,UseG1GC,0.0030381,0.0032102,0.0037341,0.0038284,0.00396732,0.00418897,0.004911555,0.008152298,0.010094258,0.0324268721
100,10240,500m,UseParallelGC,0.0025433,0.00277605,0.0032159,0.0034008,0.003721902,0.0039815,0.004168651,0.0052378283,0.00876389215,0.01913114054
100,10240,500m,UseSerialGC,0.004066,0.0042455,0.0044828,0.0045632,0.004675526,0.004775056,0.00495133,0.0067127489,0.00781186405,0.02366039986
100,10240,1g,UseConcMarkSweepGC,0.0045456,0.0047258,0.00524016,0.00553178,0.005896988,0.006271592,0.006938456,0.0092432478,0.0109583644,0.02676886644
100,10240,1g,UseG1GC,0.0035053,0.0036836,0.00425542,0.00435198,0.004562276,0.004959848,0.005706458,0.0122774644,0.0246251235,0.03890140862
100,10240,1g,UseParallelGC,0.00252148,0.0026794,0.00312962,0.00327843,0.0034452,0.003846914,0.004084125,0.0078294438,0.0131142876,0.03338650852
100,10240,1g,UseSerialGC,0.0043422,0.00453695,0.00478523,0.004872515,0.004989018,0.005096233,0.005308078,0.0078849339,0.00908456265,0.02855161294
100,10240,4g,UseConcMarkSweepGC,0.01411691,0.0147705,0.0155088,0.016096125,0.016890812,0.017542578,0.019070437,0.0256964823,0.02861097585,0.05378000711
100,10240,4g,UseG1GC,0.00473451,0.0049837,0.00565248,0.005892325,0.0063414,0.008363842,0.012283263,0.032842943,0.0370271489,0.0536462855
100,10240,4g,UseParallelGC,0.00252548,0.0026883,0.00313854,0.00326904,0.003563996,0.003981708,0.008204382,0.0205824152,0.0253463462,0.05920494798
