Concurrency,Heap Size,Garbage Collector,Average latency (ms),max_latency (ms),per90_latency  (ms),per95_latency  (ms),per99_latency  (ms),per999_latency  (ms),tail_index
50,800MB,UseConcMarkSweepGC,6.277840278,212,14,20,35,63,-1.619130748
50,800MB,UseG1GC,6.869444869,225,16,22,38,66,-1.70233055
50,800MB,UseParallelGC,6.176564177,262,14,20,35,67,-1.474631537
50,800MB,UseSerialGC,6.139250139,178,14,19,33,61,-1.730504819
50,1GB,UseConcMarkSweepGC,6.251012251,470,14,19,35,65,-1.558147175
50,1GB,UseG1GC,6.937488937,300,16,22,39,73,-1.622769158
50,1GB,UseParallelGC,6.133392133,264,14,19,34,64,-1.55327874
50,1GB,UseSerialGC,6.167926168,206,14,19,33,58,-1.719445699
50,4GB,UseConcMarkSweepGC,6.353719354,178,14,20,36,64,-1.594443255
50,4GB,UseG1GC,6.734356734,289,15,21,39,73,-1.574126705
50,4GB,UseParallelGC,6.102862103,232,14,19,33,63,-1.58917821
50,4GB,UseSerialGC,6.200565201,201,14,19,33,59,-1.671703416
100,800MB,UseConcMarkSweepGC,13.02642003,293,27,36,59,99,-2.036988372
100,800MB,UseG1GC,13.85892386,303,30,39,66,112,-1.90154037
100,800MB,UseParallelGC,12.61247361,1012,26,35,57,96,-2.002050854
100,800MB,UseSerialGC,12.64891565,231,27,35,58,92,-2.142387289
100,1GB,UseConcMarkSweepGC,12.89030989,198,27,35,58,95,-2.029708538
100,1GB,UseG1GC,13.9023389,336,30,39,65,107,-1.947311978
100,1GB,UseParallelGC,12.4956105,452,27,36,61,106,-1.716469578
100,1GB,UseSerialGC,12.76435776,217,26,34,57,93,-2.232866181
100,4GB,UseConcMarkSweepGC,13.16832717,193,29,38,63,101,-1.892209776
100,4GB,UseG1GC,13.85741986,230,29,38,62,105,-2.120873027
100,4GB,UseParallelGC,12.64974065,830,26,35,58,104,-1.820813439
100,4GB,UseSerialGC,12.81045781,234,26,34,57,103,-2.128354568
200,800MB,UseConcMarkSweepGC,25.6023046,319,53,67,99,145,-2.429401451
200,800MB,UseG1GC,27.07472107,441,55,70,105,161,-2.263352713
200,800MB,UseParallelGC,24.48748649,281,50,63,93,136,-2.508453086
200,800MB,UseSerialGC,23.90909091,304,51,66,102,154,-2.485213072
200,1GB,UseConcMarkSweepGC,25.37163337,329,52,66,100,151,-2.248276041
200,1GB,UseG1GC,26.78789979,283,54,68,100,147,-2.502290896
200,1GB,UseParallelGC,24.33861734,263,49,62,89,128,-2.691219638
200,1GB,UseSerialGC,25.09079709,319,53,69,108,166,-2.160722068
200,4GB,UseConcMarkSweepGC,25.58343058,311,53,67,100,147,-2.33797612
200,4GB,UseG1GC,27.18678519,1058,55,69,103,151,-2.453040183
200,4GB,UseParallelGC,24.55678656,277,50,62,93,141,-2.418242906
200,4GB,UseSerialGC,24.84190484,374,51,64,97,156,-2.364134598
500,800MB,UseConcMarkSweepGC,64.88083388,700,122,154,223,321,-3.691549666
500,800MB,UseG1GC,70.03108803,645,130,164,234,331,-3.761353212
500,800MB,UseParallelGC,64.16334716,602,120,151,219,316,-3.682630236
500,800MB,UseSerialGC,62.58556159,760,121,153,225,329,-3.438240914
500,1GB,UseConcMarkSweepGC,65.14714215,541,121,150,214,303,-3.885074098
500,1GB,UseG1GC,67.86302386,559,128,156,218,298,-3.924150148
500,1GB,UseParallelGC,63.48868349,605,118,147,209,294,-3.876549868
500,1GB,UseSerialGC,63.46797847,585,122,154,230,334,-3.381816638
500,4GB,UseConcMarkSweepGC,67.42648543,653,126,156,221,310,-3.87417368
500,4GB,UseG1GC,68.78837379,581,128,158,223,310,-3.875736583
500,4GB,UseParallelGC,62.32243832,1091,115,143,204,286,-3.916999455
500,4GB,UseSerialGC,61.3028513,608,116,146,212,305,-3.681158877